prompt,response
Earth,Earth is the third planet from the Sun and the only one known to support life.
Mars,Mars is a cold desert world often called the Red Planet because of its reddish soil.
Jupiter,Jupiter is the largest planet in our solar system and has a giant storm called the Great Red Spot.
Saturn,Saturn is famous for its bright rings made of ice and rock.
Venus,"Venus is covered by thick clouds and has a very hot surface, hotter than Mercury."
Mercury,Mercury is the smallest planet and the closest one to the Sun.
Neptune,"Neptune is a blue planet with strong winds and storms, located far from the Sun."
Uranus,Uranus rotates on its side and appears blue because of methane in its atmosphere.
Asteroid,"Asteroids are rocky objects that orbit the Sun, usually between Mars and Jupiter."
Comet,"Comets are icy objects that release gas and dust, creating bright tails when near the Sun."
Moon,The Moon is Earth’s natural satellite and affects our tides.
Sun,The Sun is a star at the center of the solar system that provides heat and light to Earth.
Black Hole,A black hole is a region of space where gravity is so strong that not even light can escape.
2020 XE8,2020 XE8 is a near-Earth asteroid that orbits the Sun.
2011 HJ5,2011 HJ5 is a small asteroid discovered in 2011 that passes near Earth’s orbit.
Pluto,"Pluto is a dwarf planet in the Kuiper Belt, once considered the ninth planet of the solar system."
Ceres,Ceres is the largest object in the asteroid belt between Mars and Jupiter and is classified as a dwarf planet.
Europa,"Europa is one of Jupiter’s moons, thought to have an ocean of liquid water beneath its icy surface."
Titan,Titan is Saturn’s largest moon and has lakes and rivers of liquid methane and ethane.
Ganymede,Ganymede is the largest moon in the solar system and orbits Jupiter.
Io,Io is a volcanic moon of Jupiter with hundreds of active volcanoes.
Enceladus,Enceladus is a small moon of Saturn that shoots plumes of water ice into space from its south pole.
Milky Way,The Milky Way is the galaxy that contains our solar system.
Andromeda,Andromeda is the nearest large galaxy to the Milky Way and is on a collision course with it.
Exoplanet,An exoplanet is a planet that orbits a star outside our solar system.
Galaxy,"A galaxy is a huge system of stars, gas, dust, and dark matter held together by gravity."
Nebula,"A nebula is a massive cloud of gas and dust in space, often a birthplace of stars."
Quasar,A quasar is an extremely bright and energetic object powered by a supermassive black hole.
Pulsar,A pulsar is a rapidly rotating neutron star that emits beams of radiation.
Supernova,A supernova is a powerful explosion that occurs when a star dies.
Hubble Telescope,The Hubble Space Telescope has provided detailed images of deep space since 1990.
James Webb Telescope,"The James Webb Space Telescope is the most powerful space telescope, launched in 2021, designed to observe distant galaxies."
Voyager 1,"Voyager 1 is the farthest human-made object from Earth, launched in 1977 to explore the outer planets."
Voyager 2,"Voyager 2 is a spacecraft launched in 1977 that visited all four outer planets: Jupiter, Saturn, Uranus, and Neptune."
Apollo 11,Apollo 11 was the first crewed mission to land on the Moon in 1969.
International Space Station,"The International Space Station is a habitable space station orbiting Earth, used for scientific research."
Space Shuttle,The Space Shuttle was NASA’s reusable spacecraft used between 1981 and 2011.
Meteor,A meteor is a streak of light caused by a meteoroid burning up in Earth’s atmosphere.
Meteorite,A meteorite is a fragment of a meteoroid that survives its passage through Earth’s atmosphere and lands on the ground.
Meteoroid,A meteoroid is a small rocky or metallic body traveling through space.
Light Year,"A light year is the distance light travels in one year, about 9.46 trillion kilometers."
Astronomical Unit,"An astronomical unit (AU) is the average distance between Earth and the Sun, about 150 million kilometers."
Dark Matter,Dark matter is invisible matter that makes up most of the universe’s mass.
Dark Energy,Dark energy is the mysterious force causing the accelerated expansion of the universe.
Big Bang,"The Big Bang is the leading theory for the origin of the universe, describing its expansion from a hot dense state."
Haumea,"Haumea is a dwarf planet shaped like an elongated ellipsoid, located in the Kuiper Belt."
Makemake,"Makemake is a bright dwarf planet discovered in 2005, located in the Kuiper Belt."
Eris,"Eris is one of the most massive dwarf planets, slightly smaller than Pluto but more massive."
Sedna,Sedna is a distant trans-Neptunian object with an extremely long orbit around the Sun.
Callisto,"Callisto is the second-largest moon of Jupiter, heavily cratered and geologically inactive."
Phobos,Phobos is the larger of Mars’s two moons and is slowly spiraling towards the planet.
Deimos,"Deimos is the smaller and more distant of Mars’s two moons, irregular in shape."
Triton,Triton is Neptune’s largest moon and orbits in the opposite direction of Neptune’s rotation.
Charon,"Charon is Pluto’s largest moon, so big that Pluto and Charon are sometimes considered a double dwarf planet system."
Miranda,Miranda is a moon of Uranus with unusual surface features such as giant canyons and cliffs.
